,LATITUDE,LONGITUDE
0,37.80309389,-122.24230119
1,37.79439274,-122.2719478
2,37.7835821,-122.14179659
3,37.78571941,-122.23416308
4,37.77205607,-122.22982612
5,37.78651235,-122.2258572
6,37.77222138,-122.1730519
7,37.83153588,-122.24889381
8,37.7727361,-122.14304459
9,37.80613184,-122.24446294
10,37.82103852,-122.20772963
11,37.83443954,-122.25234417
12,37.76214218,-122.19328856
13,37.79951624,-122.21769926
14,37.81966952,-122.20091489
15,37.79966354,-122.21659851
16,37.80107186,-122.26289148
17,37.844507,-122.26507412
18,37.81219602,-122.24641621
19,37.80014587,-122.24211815
20,37.79920931,-122.26172151
21,37.837461,-122.27355582
22,37.79920434,-122.26170831
23,37.77086812,-122.22544891
24,37.84528117,-122.25928638
25,37.81991782,-122.20012418
26,37.80905174,-122.24770633
27,37.81555807,-122.2839539
28,37.80896358,-122.25613803
29,37.80768545,-122.24574233
30,37.81936703,-122.28895157
31,37.75623408,-122.16779478
32,37.81745895,-122.29088143
33,37.80860382,-122.18106079
34,37.79646503,-122.2642568
35,37.79761504,-122.2650268
36,37.77558504,-122.22306682
37,37.84444415,-122.25999469
38,37.80931504,-122.25844681
39,37.82994504,-122.2642268
40,37.7546655,-122.17720829
41,37.79578504,-122.2690768
42,37.77546759,-122.23739009
43,37.84140821,-122.24803369
44,37.77423504,-122.21083682
45,37.74532922,-122.14842804
46,37.80956504,-122.18329682
47,37.787233,-122.21823716
48,37.78664745,-122.21869432
49,37.83131503,-122.19677681
50,37.80181504,-122.23915681
51,37.80064504,-122.21724681
52,37.81506503,-122.20232681
53,37.8009548,-122.2190019
54,37.7958774,-122.2207905
55,37.78043504,-122.21151682
56,37.74532922,-122.14842804
57,37.81859504,-122.2623468
58,37.79441727,-122.27343652
59,37.7695018,-122.12864603
60,37.84739504,-122.2596568
61,37.82846981,-122.25610262
62,37.80717345,-122.29427197
63,37.80147884,-122.21601823
64,37.76958504,-122.20013682
65,37.7858019,-122.1971751
66,37.77879611,-122.22853061
67,37.80524504,-122.25052681
68,37.80102722,-122.21579788
69,37.800613,-122.1745504
70,37.76406535,-122.17556374
71,37.86284006,-122.23206005
72,37.83297951,-122.26768454
73,37.85887844,-122.23210842
74,37.79065364,-122.22618173
75,37.81754319,-122.20431519
76,37.80901832,-122.24764353
77,37.78745241,-122.17633584
78,37.81987652,-122.25728615
79,37.79624069,-122.18051504
80,37.84484599,-122.26320701
81,37.84290282,-122.24724537
82,37.84007794,-122.26788413
83,37.8295721,-122.20267441
84,37.73437956,-122.13565775
85,37.80937267,-122.1861217
86,37.77946083,-122.2057463
87,37.81640896,-122.21133839
88,37.80621397,-122.27596986
89,37.80956074,-122.25948273
90,37.811469,-122.2612679
91,37.8105846,-122.26048684
92,37.80076145,-122.24858
93,37.80038838,-122.24882093
94,37.861066,-122.238826
95,37.72669729,-122.1767551
96,37.78966311,-122.18927917
97,37.82445378,-122.25242182
98,37.76871117,-122.1725092
99,37.77860346,-122.17090525
100,37.83924804,-122.28224829
101,37.78294366,-122.21635191
102,37.78646182,-122.2257726
103,37.85057122,-122.26770417
104,37.80863268,-122.25292575
105,37.8146064,-122.2560612
106,37.82655386,-122.21075834
107,37.81083832,-122.19689166
108,37.85068562,-122.26787
109,37.79175504,-122.21478682
110,37.77119145,-122.23163148
111,37.81503766,-122.25637224
112,37.78979885,-122.20511469
113,37.83542197,-122.25574699
114,37.84944371,-122.2606121
115,37.812925,-122.2852919
116,37.79242595,-122.24516454
117,37.81601032,-122.25465209
118,37.81016198,-122.24605332
119,37.830096,-122.257981
120,37.77181427,-122.15433373
121,37.81637472,-122.20025604
122,37.839077,-122.2534911
123,37.8098673,-122.18927558
124,37.79022721,-122.19865355
125,37.781309,-122.1999905
126,37.80740707,-122.22219208
127,37.8487423,-122.2588972
128,37.815244,-122.27636
129,37.80414963,-122.22915649
130,37.72627206,-122.175788
131,37.76128298,-122.20090451
132,37.80752201,-122.27915295
133,37.8296844,-122.2528588
134,37.7396195,-122.1733709
135,37.79871844,-122.26766365
136,37.82078053,-122.19581995
137,37.8101629,-122.1915422
138,37.80497032,-122.17934104
139,37.76071945,-122.19500455
140,37.82967499,-122.21271333
141,37.81999588,-122.24778747
142,37.84287932,-122.26144933
143,37.77996414,-122.21066563
144,37.80335862,-122.27538289
145,37.83522347,-122.22645404
146,37.8008594,-122.26889648
147,37.79280853,-122.22911071
148,37.84651237,-122.26199243
149,37.79291786,-122.22897695
150,37.84250162,-122.23045694
151,37.81998057,-122.2669269
152,37.80298988,-122.18021016
153,37.82237863,-122.18858311
154,37.81142263,-122.28554821
155,37.83495504,-122.2671068
156,37.83706427,-122.26086564
157,37.81009401,-122.25035521
158,37.81156402,-122.24216008
159,37.80910638,-122.26593584
160,37.79114189,-122.15186095
161,37.80813626,-122.27475328
162,37.80091599,-122.27777938
163,37.8008539,-122.26889324
164,37.75644722,-122.12042222
165,37.80861449,-122.27587432
166,37.78296379,-122.1757269
167,37.84210285,-122.25402318
168,37.79882461,-122.27463553
169,37.81008356,-122.25050384
170,37.79823001,-122.25845001
171,37.81865765,-122.28395691
172,37.84608374,-122.24024102
173,37.81357699,-122.28269201
174,37.81162863,-122.27230065
175,37.834623,-122.217372
176,37.82893622,-122.26318353
177,37.82939655,-122.27237862
178,37.80025839,-122.23207736
179,37.80563962,-122.27027369
180,37.82533792,-122.28278475
181,37.84866264,-122.24386865
182,37.79847638,-122.26482453
183,37.80937267,-122.1861217
184,37.80029302,-122.26934029
185,37.77947314,-122.20559822
186,37.8011167,-122.26294523
187,37.80322396,-122.26309912
188,37.84031701,-122.19962345
189,37.83715919,-122.26209742
190,37.84272011,-122.27044369
191,37.80320465,-122.27480817
192,37.82893622,-122.26318353
193,37.81095895,-122.19651913
194,37.81463025,-122.25544457
195,37.79967979,-122.24449098
196,37.79593852,-122.25915825
197,37.84693495,-122.28499231
198,37.83058504,-122.26820681
199,37.79950809,-122.21654062
200,37.83721135,-122.28202498
201,37.79359696,-122.24576833
202,37.82893622,-122.26318353
203,37.73793959,-122.18886683
204,37.79140473,-122.24308013
205,37.77995587,-122.20114479
206,37.80686757,-122.2871798
207,37.76660565,-122.19333529
208,37.79593852,-122.25915825
209,37.8445531,-122.25018578
210,37.7927755,-122.26817602
211,37.77823018,-122.20681898
212,37.79311835,-122.22933485
213,37.8209153,-122.18961981
214,37.78284502,-122.22710253
215,37.80570303,-122.19309401
216,37.79898722,-122.25666434
217,37.77744957,-122.23289513
218,37.78133957,-122.20023846
219,37.80937267,-122.1861217
220,37.7878531,-122.1865271
221,37.74567312,-122.17163163
222,37.77308438,-122.21651724
223,37.7733122,-122.21670954
224,37.80993652,-122.26727295
225,37.78946781,-122.15054221
226,37.8442253,-122.27564614
227,37.74867376,-122.1650062
228,37.86907809,-122.22783392
229,37.78997455,-122.23587206
230,37.81418569,-122.24723219
231,37.84444415,-122.25999469
232,37.82301671,-122.1867775
233,37.82348997,-122.20088017
234,37.78211547,-122.19061215
235,37.832633,-122.2647019
236,37.81010628,-122.26737005
237,37.82935274,-122.25005478
238,37.80647847,-122.26554747
239,37.84570244,-122.25196108
240,37.81519036,-122.19476739
241,37.7448679,-122.152588
242,37.83288725,-122.18826941
243,37.77537311,-122.16419053
244,37.78648762,-122.21329372
245,37.80937267,-122.1861217
246,37.77298526,-122.15616589
247,37.78727855,-122.23136769
248,37.80685974,-122.26624388
249,37.80742863,-122.26458893
250,37.80241342,-122.17688441
251,37.77888712,-122.20594986
252,37.8022734,-122.2654552
253,37.83180947,-122.18547829
254,37.84652621,-122.26206595
255,37.77224443,-122.15581635
256,37.82862867,-122.25675668
257,37.7990912,-122.26153202
258,37.81432222,-122.29985929
259,37.84985776,-122.24494863
260,37.7801298,-122.18921227
261,37.75472504,-122.18646682
262,37.84114341,-122.25563805
263,37.74273674,-122.16909307
264,37.7775678,-122.1964879
265,37.7916324,-122.2423676
266,37.80860145,-122.22530798
267,37.83634943,-122.25714058
268,37.7664009,-122.17141078
269,37.83609356,-122.25596129
270,37.81443333,-122.23441333
271,37.79971721,-122.19870443
272,37.81088729,-122.25368077
273,37.81440625,-122.23478482
274,37.8147805,-122.2340354
275,37.7876469,-122.2157613
276,37.81678699,-122.2569069
277,37.8190604,-122.2586092
278,37.82713395,-122.18903333
279,37.81625064,-122.19114815
280,37.7606056,-122.1907903
281,37.79684112,-122.19458667
282,37.81612396,-122.18785095
283,37.80719718,-122.19083539
284,37.78714868,-122.18723153
285,37.8009777,-122.2636082
286,37.80567132,-122.26740497
287,37.80591129,-122.26781951
288,37.85003006,-122.26771992
289,37.7819502,-122.2052221
290,37.8363167,-122.185802
291,37.80230625,-122.26513712
292,37.7982678,-122.2668488
293,37.79582469,-122.22885875
294,37.7353264,-122.1379905
295,37.8499952,-122.2565044
296,37.78495244,-122.23199033
297,37.81867958,-122.27574795
298,37.76092972,-122.1908591
299,37.79022721,-122.19865355
300,37.81384956,-122.20597779
301,37.7772457,-122.2195743
302,37.81673807,-122.25542912
303,37.8427794,-122.2034487
304,37.8416225,-122.2015474
305,37.8501789,-122.2527377
306,37.8214763,-122.2747597
307,37.80189754,-122.23745234
308,37.8521172,-122.2604282
309,37.79446639,-122.27422545
310,37.82753418,-122.25667958
311,37.76778483,-122.1539076
312,37.79243816,-122.18005884
313,37.80557346,-122.27040931
314,37.79432888,-122.19911711
315,37.72821606,-122.18692087
316,37.7516896,-122.1748754
317,37.75771013,-122.16855005
318,37.82653996,-122.18821694
319,37.8461927,-122.2519569
320,37.83311655,-122.19080211
321,37.79048808,-122.2284674
322,37.8239426,-122.2097989
323,37.7948567,-122.17852643
324,37.7943094,-122.1781305
325,37.80962038,-122.1834017
326,37.82549133,-122.25371655
327,37.83721134,-122.282025
328,37.83793044,-122.25012267
329,37.84568551,-122.25008389
330,37.8120139,-122.2928127
331,37.8428763,-122.26158904
332,37.80439134,-122.20822687
333,37.82554504,-122.2751868
334,37.82887946,-122.21290027
335,37.80771396,-122.26901618
336,37.80864846,-122.25300147
337,37.83784106,-122.27608218
338,37.81541745,-122.25731026
339,37.81895311,-122.26004186
340,37.79729818,-122.21841209
341,37.83935131,-122.26554325
342,37.80753003,-122.22143809
343,37.81927768,-122.25964903
344,37.81834147,-122.26102184
345,37.81591806,-122.25509592
346,37.80586847,-122.29762958
347,37.75763496,-122.15179293
348,37.75853661,-122.14986367
349,37.80212624,-122.27842442
350,37.77683233,-122.20958725
351,37.82030082,-122.2608158
352,37.79482126,-122.19710513
